bootstrapNumber,param,value,dist
92,rate,1.3748487826350293,gamma
93,shape,6.904586189460561,gamma
93,rate,1.4162972357774548,gamma
94,shape,3.7441650931188826,gamma
94,rate,0.8068239437505277,gamma
95,shape,11.66509372742527,gamma
95,rate,2.3464709198899336,gamma
96,shape,17.500837800107167,gamma
96,rate,3.888427820518973,gamma
97,shape,3.447718596612378,gamma
97,rate,0.6935129087564633,gamma
98,shape,5.165289256198348,gamma
98,rate,1.0647367619710095,gamma
99,shape,7.311100615643149,gamma
99,rate,1.462400815002115,gamma
100,shape,5.01824231446153,gamma
100,rate,0.9546779484924363,gamma
