bootstrapNumber,dist,shape,rate,mean,sd
62,gamma,5.688854852574477,1.0185441482563695,5.585280581419217,5.483592037694759
63,gamma,6.045175899336469,1.2743433768944306,4.743757458895057,3.7225111731310387
64,gamma,15.024999136867882,3.2513582487851127,4.621145375930829,1.4212968926624878
65,gamma,16.265820615371663,3.5352202274891846,4.601077038678328,1.3014965808639722
66,gamma,11.664277822568598,2.5565696148845074,4.562472210675762,1.7846070703933756
67,gamma,6.007304882737411,1.1719919085916297,5.125722147652303,4.373513255575143
68,gamma,5.750486144251118,1.1661592756494403,4.931132705734936,4.228524189364067
69,gamma,7.855074503810654,1.6377070676536991,4.796385543517509,2.928720061267836
70,gamma,7.073336351290177,1.4881233377128236,4.753192273808142,3.1940848942760196
71,gamma,5.546258277607177,1.1346116921744944,4.888243542579505,4.308296465032136
72,gamma,4.716470116807185,1.052688246644244,4.480405411423878,4.2561560136217915
73,gamma,22.762368160363607,4.755527512213046,4.786507511922867,1.0065145243362086
74,gamma,16.192178058587093,3.2617107243773913,4.964320697592801,1.5219990726002874
75,gamma,6.092327411509266,1.1365486105630316,5.360375574689415,4.716362788947455
76,gamma,8.779274380237494,1.8825525712073705,4.66349493475602,2.477218966461637
77,gamma,7.832579224135189,1.7430689789213312,4.49355666290513,2.5779568779233806
78,gamma,21.433470507544577,4.41397319253907,4.855822537339721,1.1001024078595465
79,gamma,5.512440723181421,1.062880987711728,5.186319810884125,4.879492502777504
80,gamma,7.851919335016481,1.5800255462514141,4.969488850129694,3.145195254544921
81,gamma,7.799017059307871,1.4818367478375019,5.263074404578817,3.5517235027808645
82,gamma,6.007304882737409,1.1367730348850908,5.284524437496575,4.648706712180901
83,gamma,24.71446934635184,4.787050221576829,5.162776282345128,1.0784880131557377
84,gamma,4.612900178316269,0.9023187244045623,5.112273583107022,5.665707077596775
85,gamma,12.32323877549094,2.7106229889631144,4.546275459799339,1.6772068555127286
86,gamma,16.285992147292795,3.3964647095401346,4.794983472534841,1.4117571894877892
87,gamma,18.06909100324366,3.5367394746192877,5.108968622911844,1.4445419742040226
88,gamma,4.766795973483104,0.9110875321145857,5.231984639741062,5.742570779777772
89,gamma,6.486507400388834,1.3658051546925605,4.749218714033138,3.4772300409879304
90,gamma,4.477959924684803,0.8973901123817782,4.98998135025109,5.560548619158613
91,gamma,15.928560127485573,3.3322767629566123,4.780083186533618,1.434479644569624
92,gamma,7.071410389255255,1.3748487826350293,5.143409572434737,3.7410729364555277
93,gamma,6.904586189460561,1.4162972357774548,4.875096847640456,3.4421424574512747
94,gamma,3.7441650931188826,0.8068239437505277,4.640622185447423,5.751715998753648
95,gamma,11.66509372742527,2.3464709198899336,4.971335305520193,2.118643475774839
96,gamma,17.500837800107167,3.888427820518973,4.500749045091289,1.157472699207926
97,gamma,3.447718596612378,0.6935129087564633,4.9713834495084965,7.1684079513713375
98,gamma,5.165289256198348,1.0647367619710095,4.851235949284325,4.556277309617693
99,gamma,7.311100615643149,1.462400815002115,4.9993822081072725,3.418612843223861
100,gamma,5.01824231446153,0.9546779484924363,5.256476618514132,5.506020775712699
