ethnicity_final
NA
White - British
White - Irish
Asian / Asian British - Other
White - Other
Mixed - Other
Black / Black British - African
Asian / Asian British - Indian
Black / Black British - Caribbean
Mixed - White and Black Caribbean
Other
Mixed - White and Asian
Black / Black British - Other
Asian / Asian British - Pakistani
Asian / Asian British - Chinese
Asian / Asian British - Bangladeshi
Mixed - White and Black African
Indian (Asian or Asian British)
British (White)
Unknown
Any other White background
Pakistani (Asian or Asian British)
Any other ethnic group
Irish (White)
Any other Mixed background
African (Black or Black British)
Any other Black background
Any other Asian background
White and Black Caribbean (Mixed)
Chinese (other ethnic group)
Bangladeshi (Asian or Asian British)
White and Asian (Mixed)
Caribbean (Black or Black British)
White and Black African (Mixed)
Prefer not to say
Indian
British~ English~ Northern Irish~ Scottish~ or Welsh
Pakistani
Bangladeshi
Another Asian background
African
Asian and White
Another White background
Caribbean
Another Black background
Black Caribbean and White
Another ethnic background
Black~ African~ Black British or Caribbean
Another Mixed background
Asian or Asian British
Black African and White
Arab
Irish
White
Mixed or multiple ethnic groups
not stated
"english, welsh, scottish, northern irish or british"
any other white background
pakistani
any other asian background
indian
any other ethnic group
bangladeshi
african
any other mixed or multiple ethnic background
irish
white and asian
white and black caribbean
prefer not to say
caribbean
chinese
"any other black, african or caribbean background"
white and black african
arab
gypsy or irish traveller
Not stated
Other ethnic group
"Black, African, Caribbean or Black British"
"British, Mixed British"
Indian or British Indian
Pakistani or British Pakistani
Chinese
White and Asian
White and Black African
Any other mixed background
White and Black Caribbean
Bangladeshi or British Bangladeshi
