code,name,date,cumulative_cases,incidence,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),slope,slopeLowerCi,slopeUpperCi,r_squared
E06000011,East Riding of Yorkshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000011,East Sussex,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000010,Enfield,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000012,Essex,2020-03-07,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000037,Gateshead,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000013,Gloucestershire,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000011,Greenwich,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000012,Hackney and City of London,2020-03-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000006,Halton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000013,Hammersmith and Fulham,2020-03-07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000014,Hampshire,2020-03-07,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000014,Haringey,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000015,Harrow,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000001,Hartlepool,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000016,Havering,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000019,"Herefordshire, County of",2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000015,Hertfordshire,2020-03-07,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000017,Hillingdon,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000018,Hounslow,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000046,Isle of Wight,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000019,Islington,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000020,Kensington and Chelsea,2020-03-07,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000016,Kent,2020-03-07,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000010,"Kingston upon Hull, City of",2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000021,Kingston upon Thames,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000034,Kirklees,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000011,Knowsley,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000022,Lambeth,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000017,Lancashire,2020-03-07,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000035,Leeds,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000016,Leicester,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000018,Leicestershire,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000023,Lewisham,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000019,Lincolnshire,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000012,Liverpool,2020-03-07,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
